progressID,userID,lessonID,progress
19,clwp1zvf20001gqnn3l8vd3nu,1,0
20,clwp1zvf20001gqnn3l8vd3nu,4,0
21,clwp1zvf20001gqnn3l8vd3nu,5,0
22,clwp1zvf20001gqnn3l8vd3nu,6,0
23,clwp1zvf20001gqnn3l8vd3nu,2,0
24,clwp1zvf20001gqnn3l8vd3nu,3,0
25,clwpjhje90001gjmy9xbjgtop,1,6
26,clwpjhje90001gjmy9xbjgtop,4,0
27,clwpjhje90001gjmy9xbjgtop,5,0
28,clwpjhje90001gjmy9xbjgtop,6,0
29,clwpjhje90001gjmy9xbjgtop,2,0
30,clwpjhje90001gjmy9xbjgtop,3,0
31,clwqdo6eq0001h0j6ijteap9j,1,10
32,clwqdo6eq0001h0j6ijteap9j,4,0
33,clwqdo6eq0001h0j6ijteap9j,5,0
34,clwqdo6eq0001h0j6ijteap9j,6,0
35,clwqdo6eq0001h0j6ijteap9j,2,0
36,clwqdo6eq0001h0j6ijteap9j,3,0
37,clwqe6wuz0001vf58zlymumww,1,0
38,clwqe6wuz0001vf58zlymumww,4,0
39,clwqe6wuz0001vf58zlymumww,5,0
40,clwqe6wuz0001vf58zlymumww,6,0
41,clwqe6wuz0001vf58zlymumww,2,0
42,clwqe6wuz0001vf58zlymumww,3,0
43,clwqebkvv0003vf58m3tce6wk,1,1
44,clwqebkvv0003vf58m3tce6wk,4,0
45,clwqebkvv0003vf58m3tce6wk,5,0
46,clwqebkvv0003vf58m3tce6wk,6,0
47,clwqebkvv0003vf58m3tce6wk,2,0
48,clwqebkvv0003vf58m3tce6wk,3,0
49,clwqew5x90001dvqljuthu6pr,1,0
50,clwqew5x90001dvqljuthu6pr,4,0
51,clwqew5x90001dvqljuthu6pr,5,0
52,clwqew5x90001dvqljuthu6pr,6,0
53,clwqew5x90001dvqljuthu6pr,2,0
54,clwqew5x90001dvqljuthu6pr,3,0
55,clwqex2l70002tbak9izwir23,1,0
56,clwqex2l70002tbak9izwir23,4,0
57,clwqex2l70002tbak9izwir23,5,0
58,clwqex2l70002tbak9izwir23,6,0
59,clwqex2l70002tbak9izwir23,2,0
60,clwqex2l70002tbak9izwir23,3,0
61,clwqfhiho0001srqbpw8iql9x,1,0
62,clwqfhiho0001srqbpw8iql9x,4,0
63,clwqfhiho0001srqbpw8iql9x,5,0
64,clwqfhiho0001srqbpw8iql9x,6,0
65,clwqfhiho0001srqbpw8iql9x,2,0
66,clwqfhiho0001srqbpw8iql9x,3,0
